
DATASET A
node_best	edge_best	node_avg	edge_avg
0.88	0.17	0.860911	0.236787
0.85	0.21	0.825285	0.211722
0.89	0.23	0.864034	0.235896
0.84	0.17	0.842873	0.221291
0.89	0.16	0.846426	0.212783
0.88	0.21	0.854294	0.227658
0.88	0.34	0.853453	0.225065
0.9	0.07	0.85006	0.213574
0.86	0.28	0.860541	0.23032
0.89	0.28	0.861582	0.217407
0.88	0.13	0.854264	0.212723
0.85	0.2	0.845826	0.239449
0.87	0.21	0.859449	0.237958
0.85	0.25	0.862963	0.227427
0.89	0.11	0.854494	0.228198
0.86	0.06	0.853453	0.220651
0.89	0.18	0.862783	0.216987
0.84	0.05	0.83012	0.202963
0.89	0.38	0.858358	0.22979
0.89	0.38	0.866206	0.243413
0.91	0.15	0.851862	0.206036
0.89	0.38	0.861752	0.240681
0.86	0.11	0.842573	0.211992
0.86	0.12	0.844124	0.215726
0.87	0.1	0.859309	0.216537
0.9	0.15	0.871902	0.242342
0.86	0.21	0.861371	0.216366
0.9	0.31	0.864384	0.23962
0.89	0.11	0.865626	0.251261
0.87	0.42	0.853904	0.236456
0.82	0.31	0.828108	0.231271
0.84	0.22	0.838849	0.232212
0.91	0.25	0.871251	0.237097
0.89	0.21	0.851041	0.223433
0.87	0.17	0.85038	0.225736
0.89	0.3	0.867628	0.245255
0.87	0.19	0.848158	0.214184
0.89	0.11	0.860981	0.231992
0.86	0.19	0.847708	0.212332
0.84	0.21	0.834475	0.21999
0.84	0.36	0.828569	0.21031
0.88	0.28	0.844885	0.228318
0.86	0.13	0.855205	0.217187
0.86	0.19	0.852302	0.217868
0.87	0.36	0.851972	0.228679
0.87	0.1	0.857888	0.222282
0.88	0.43	0.85954	0.237077
0.85	0.18	0.843754	0.215886
0.86	0.4	0.841151	0.226697
0.9	0.34	0.862603	0.236376
0.87	0.06	0.867948	0.226517
0.9	0.36	0.865045	0.221782
0.85	0.07	0.82998	0.226346
0.88	0.3	0.851231	0.228298
0.87	0.19	0.851522	0.230541
0.88	0.18	0.857708	0.235465
0.89	0.37	0.852953	0.245385
0.87	0.14	0.85016	0.223634
0.89	0.36	0.86987	0.242933
0.9	0.24	0.842382	0.219289
0.91	0.22	0.863884	0.225736
0.87	0.23	0.862603	0.243233
0.9	0.14	0.865546	0.22972
0.9	0.15	0.868428	0.235285
0.88	0.28	0.863333	0.238418
0.84	0.17	0.851051	0.228378
0.87	0.33	0.851622	0.235566
0.89	0.15	0.854324	0.243584
0.88	0.25	0.861542	0.246226
0.85	0.26	0.845005	0.2303
0.88	0.24	0.865606	0.228478
0.9	0.19	0.860801	0.226687
0.83	0.13	0.835716	0.218639
0.91	0.34	0.864955	0.225435
0.87	0.4	0.856196	0.248438
0.86	0.15	0.821021	0.215716
0.89	0.3	0.865616	0.22998
0.87	0.3	0.83977	0.211391
0.87	0.34	0.859019	0.230751
0.89	0.27	0.866757	0.217908
0.85	0.1	0.854194	0.212683
0.86	0.24	0.849139	0.22011
0.86	0.26	0.84953	0.2297
0.89	0.16	0.856807	0.22987
0.86	0.33	0.83975	0.198849
0.85	0.28	0.842452	0.207668
0.87	0.19	0.843303	0.216757
0.85	0.18	0.847568	0.230891
0.89	0.14	0.869369	0.212963
0.88	0.33	0.848168	0.234254
0.89	0.34	0.843283	0.226987
0.9	0.11	0.852172	0.231612
0.9	0.14	0.862713	0.232833
0.89	0.36	0.867107	0.226396
0.92	0.23	0.871471	0.229019
0.89	0.42	0.850691	0.218038
0.89	0.05	0.858619	0.233063
0.89	0.15	0.869379	0.22018
0.88	0.18	0.860951	0.248398
0.88	0.16	0.849279	0.218729
0.86	0.36	0.835596	0.208629
0.88	0.09	0.837878	0.228138
0.84	0.31	0.841101	0.208859
0.87	0.29	0.854925	0.215786
